case,category,detail
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2026-27.json,extended-season-match-count,"Elliot Vance: {""season"":""2026/27"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":15,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":57,""matches"":7,""wins"":10,""losses"":6,""prizeMoney"":0,""rankingPoints"":152,""titles"":1,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Junior Amateur Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2027-28.json,extended-career-match-count,"Elliot Vance: 14 matches, 11 wins, 13 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2027-28.json,extended-season-match-count,"Elliot Vance: {""season"":""2027/28"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":246,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":139,""matches"":7,""wins"":1,""losses"":7,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Junior Amateur Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2028-29.json,extended-career-match-count,"Elliot Vance: 21 matches, 19 wins, 20 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2028-29.json,extended-season-match-count,"Elliot Vance: {""season"":""2028/29"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":237,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":43,""matches"":7,""wins"":8,""losses"":7,""prizeMoney"":0,""rankingPoints"":18,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Amateur Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2029-30.json,extended-career-match-count,"Elliot Vance: 28 matches, 37 wins, 26 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2029-30.json,extended-season-match-count,"Elliot Vance: {""season"":""2029/30"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":57,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":22,""matches"":7,""wins"":18,""losses"":6,""prizeMoney"":0,""rankingPoints"":80,""titles"":1,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Junior Amateur Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2030-31.json,extended-career-match-count,"Elliot Vance: 35 matches, 56 wins, 30 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2030-31.json,extended-season-match-count,"Elliot Vance: {""season"":""2030/31"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":13,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":19,""matches"":7,""wins"":19,""losses"":4,""prizeMoney"":0,""rankingPoints"":254,""titles"":3,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Junior Amateur Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2031-32.json,extended-career-match-count,"Elliot Vance: 45 matches, 86 wins, 41 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2031-32.json,extended-season-match-count,"Elliot Vance: {""season"":""2031/32"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":27,""qTourRank"":21,""qSchoolRank"":17,""seniorRank"":null,""youthRank"":137,""matches"":10,""wins"":30,""losses"":11,""prizeMoney"":0,""rankingPoints"":11981,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Q School Campaigner""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2032-33.json,extended-career-match-count,"Elliot Vance: 53 matches, 113 wins, 47 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2032-33.json,extended-season-match-count,"Elliot Vance: {""season"":""2032/33"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":5,""qTourRank"":4,""qSchoolRank"":36,""seniorRank"":null,""youthRank"":null,""matches"":8,""wins"":27,""losses"":6,""prizeMoney"":0,""rankingPoints"":20475,""titles"":2,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Q School Campaigner""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2033-34.json,extended-career-match-count,"Elliot Vance: 57 matches, 119 wins, 52 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2033-34.json,extended-season-match-count,"Elliot Vance: {""season"":""2033/34"",""worldRank"":136,""oneYearRank"":135,""amateurRank"":14,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":4,""wins"":6,""losses"":5,""prizeMoney"":4000,""rankingPoints"":4170,""titles"":1,""proWins"":1,""proLosses"":5,""mainTourEvents"":3,""hasTourCard"":true,""yearsRemaining"":2,""retainedViaRanking"":false,""cardSource"":""Federation Route"",""tourSurvivalStatus"":""Amateur"",""status"":""Amateur Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2034-35.json,extended-career-match-count,"Elliot Vance: 68 matches, 148 wins, 62 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2034-35.json,extended-season-match-count,"Elliot Vance: {""season"":""2034/35"",""worldRank"":53,""oneYearRank"":29,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":29,""losses"":10,""prizeMoney"":113900,""rankingPoints"":113900,""titles"":0,""proWins"":29,""proLosses"":10,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":1,""retainedViaRanking"":false,""cardSource"":""Federation Route"",""tourSurvivalStatus"":""At Risk"",""status"":""Tour Survivor / Top 64""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2035-36.json,extended-career-match-count,"Elliot Vance: 80 matches, 160 wins, 72 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2035-36.json,extended-season-match-count,"Elliot Vance: {""season"":""2035/36"",""worldRank"":38,""oneYearRank"":40,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":12,""wins"":12,""losses"":10,""prizeMoney"":92250,""rankingPoints"":90000,""titles"":0,""proWins"":12,""proLosses"":10,""mainTourEvents"":12,""hasTourCard"":true,""yearsRemaining"":0,""retainedViaRanking"":true,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Safe"",""status"":""Tour Survivor / Top 64""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2036-37.json,extended-career-match-count,"Elliot Vance: 91 matches, 173 wins, 83 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2036-37.json,extended-season-match-count,"Elliot Vance: {""season"":""2036/37"",""worldRank"":52,""oneYearRank"":73,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":13,""losses"":11,""prizeMoney"":57850,""rankingPoints"":44600,""titles"":0,""proWins"":13,""proLosses"":11,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":0,""retainedViaRanking"":true,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Safe"",""status"":""Tour Survivor / Top 64""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2037-38.json,extended-career-match-count,"Elliot Vance: 103 matches, 184 wins, 93 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2037-38.json,extended-season-match-count,"Elliot Vance: {""season"":""2037/38"",""worldRank"":67,""oneYearRank"":66,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":12,""wins"":11,""losses"":10,""prizeMoney"":51100,""rankingPoints"":44600,""titles"":0,""proWins"":11,""proLosses"":10,""mainTourEvents"":12,""hasTourCard"":true,""yearsRemaining"":0,""retainedViaRanking"":true,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Safe"",""status"":""Rookie Professional — Two-Year Tour Card""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2038-39.json,extended-career-match-count,"Elliot Vance: 111 matches, 200 wins, 100 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2038-39.json,extended-season-match-count,"Elliot Vance: {""season"":""2038/39"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":168,""qTourRank"":56,""qSchoolRank"":12,""seniorRank"":null,""youthRank"":null,""matches"":8,""wins"":16,""losses"":7,""prizeMoney"":0,""rankingPoints"":6525,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Lost Card"",""status"":""Q School Campaigner""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2039-40.json,extended-career-match-count,"Elliot Vance: 122 matches, 218 wins, 110 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2039-40.json,extended-season-match-count,"Elliot Vance: {""season"":""2039/40"",""worldRank"":93,""oneYearRank"":66,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":18,""losses"":10,""prizeMoney"":47150,""rankingPoints"":46900,""titles"":0,""proWins"":18,""proLosses"":10,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":2,""retainedViaRanking"":false,""cardSource"":""Q School"",""tourSurvivalStatus"":""Amateur"",""status"":""Rookie Professional — Two-Year Tour Card""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2040-41.json,extended-career-match-count,"Elliot Vance: 133 matches, 229 wins, 121 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2040-41.json,extended-season-match-count,"Elliot Vance: {""season"":""2040/41"",""worldRank"":71,""oneYearRank"":75,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":11,""losses"":11,""prizeMoney"":42350,""rankingPoints"":42100,""titles"":0,""proWins"":11,""proLosses"":11,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":1,""retainedViaRanking"":false,""cardSource"":""Q School"",""tourSurvivalStatus"":""Bubble"",""status"":""Rookie Professional — Two-Year Tour Card""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2041-42.json,extended-career-match-count,"Elliot Vance: 138 matches, 240 wins, 127 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2041-42.json,extended-season-match-count,"Elliot Vance: {""season"":""2041/42"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":53,""qTourRank"":178,""qSchoolRank"":36,""seniorRank"":null,""youthRank"":null,""matches"":5,""wins"":11,""losses"":6,""prizeMoney"":0,""rankingPoints"":1268,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Lost Card"",""status"":""Q School Campaigner""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2042-43.json,extended-career-match-count,"Elliot Vance: 143 matches, 255 wins, 131 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2042-43.json,extended-season-match-count,"Elliot Vance: {""season"":""2042/43"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":62,""qTourRank"":424,""qSchoolRank"":18,""seniorRank"":null,""youthRank"":null,""matches"":5,""wins"":15,""losses"":4,""prizeMoney"":0,""rankingPoints"":67,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Q School Campaigner""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2043-44.json,extended-career-match-count,"Elliot Vance: 154 matches, 269 wins, 140 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2043-44.json,extended-season-match-count,"Elliot Vance: {""season"":""2043/44"",""worldRank"":84,""oneYearRank"":57,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":14,""losses"":9,""prizeMoney"":66600,""rankingPoints"":66600,""titles"":0,""proWins"":14,""proLosses"":9,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":2,""retainedViaRanking"":false,""cardSource"":""Q School"",""tourSurvivalStatus"":""Amateur"",""status"":""Rookie Professional — Two-Year Tour Card""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2044-45.json,extended-career-match-count,"Elliot Vance: 165 matches, 287 wins, 151 losses"
